,0.25,0.375,0.5
317,19.0,10.0,9.0
318,12.0,11.0,12.0
319,9.0,11.0,7.0
320,14.0,12.0,11.0
321,13.0,12.0,5.0
322,12.0,10.0,12.0
323,16.0,14.0,8.0
324,13.0,13.0,8.0
325,12.0,16.0,24.0
326,13.0,10.0,19.0
327,15.0,13.0,11.0
328,15.0,8.0,15.0
329,13.0,14.0,13.0
330,8.0,8.0,9.0
331,9.0,23.0,9.0
332,15.0,6.0,10.0
333,5.0,12.0,7.0
334,18.0,7.0,10.0
335,8.0,9.0,17.0
336,10.0,14.0,9.0
337,15.0,9.0,7.0
338,15.0,12.0,14.0
339,13.0,15.0,6.0
340,12.0,9.0,9.0
341,13.0,7.0,8.0
342,10.0,8.0,14.0
343,8.0,24.0,6.0
344,13.0,16.0,16.0
345,8.0,7.0,7.0
346,19.0,12.0,33.0
347,8.0,9.0,20.0
348,7.0,11.0,4.0
349,12.0,6.0,12.0
350,12.0,11.0,7.0
351,11.0,7.0,10.0
352,11.0,11.0,9.0
353,11.0,14.0,10.0
354,16.0,24.0,7.0
355,20.0,16.0,27.0
356,13.0,15.0,11.0
357,15.0,7.0,11.0
358,10.0,10.0,7.0
359,14.0,5.0,8.0
360,14.0,6.0,9.0
361,13.0,8.0,10.0
362,15.0,10.0,18.0
363,15.0,8.0,9.0
364,12.0,10.0,27.0
365,9.0,13.0,16.0
366,12.0,21.0,10.0
367,12.0,9.0,6.0
368,9.0,13.0,22.0
369,8.0,7.0,10.0
370,14.0,20.0,14.0
371,12.0,12.0,6.0
372,14.0,11.0,9.0
373,7.0,10.0,11.0
374,16.0,22.0,7.0
375,7.0,8.0,8.0
376,12.0,15.0,9.0
377,11.0,14.0,6.0
378,15.0,17.0,24.0
379,5.0,22.0,12.0
380,14.0,14.0,4.0
381,7.0,6.0,9.0
382,11.0,4.0,30.0
383,9.0,13.0,8.0
384,11.0,11.0,6.0
385,11.0,11.0,6.0
386,16.0,13.0,3.0
387,12.0,15.0,9.0
388,10.0,13.0,6.0
389,13.0,14.0,15.0
390,12.0,13.0,15.0
391,9.0,4.0,7.0
392,11.0,11.0,9.0
393,14.0,13.0,4.0
394,17.0,6.0,23.0
395,23.0,18.0,3.0
396,20.0,8.0,22.0
397,11.0,11.0,10.0
398,4.0,10.0,14.0
399,12.0,10.0,10.0
400,9.0,14.0,23.0
401,14.0,11.0,7.0
402,14.0,13.0,8.0
403,8.0,10.0,19.0
404,13.0,13.0,11.0
405,9.0,14.0,24.0
406,10.0,13.0,9.0
407,11.0,13.0,9.0
408,10.0,27.0,10.0
409,14.0,16.0,21.0
410,14.0,14.0,15.0
411,9.0,11.0,14.0
412,9.0,7.0,18.0
413,8.0,13.0,10.0
414,13.0,10.0,8.0
415,9.0,13.0,11.0
416,13.0,8.0,30.0
417,17.0,18.0,5.0
418,12.0,12.0,10.0
419,10.0,12.0,10.0
420,16.0,14.0,8.0
421,16.0,12.0,24.0
422,21.0,15.0,14.0
423,11.0,11.0,7.0
424,15.0,8.0,19.0
425,10.0,9.0,6.0
426,16.0,12.0,3.0
427,9.0,10.0,13.0
428,8.0,13.0,18.0
429,20.0,18.0,19.0
430,10.0,31.0,21.0
431,8.0,8.0,12.0
432,10.0,9.0,20.0
433,9.0,7.0,7.0
434,17.0,11.0,6.0
435,16.0,12.0,12.0
436,9.0,13.0,11.0
437,14.0,16.0,20.0
438,9.0,9.0,6.0
439,17.0,18.0,8.0
440,12.0,10.0,13.0
441,8.0,13.0,5.0
442,15.0,5.0,10.0
443,8.0,16.0,6.0
444,14.0,10.0,29.0
445,10.0,15.0,9.0
446,17.0,9.0,16.0
447,12.0,11.0,8.0
448,12.0,16.0,11.0
449,14.0,14.0,11.0
450,13.0,11.0,10.0
451,13.0,15.0,14.0
452,13.0,8.0,5.0
453,19.0,4.0,11.0
454,14.0,19.0,11.0
455,11.0,9.0,11.0
456,11.0,8.0,13.0
457,14.0,12.0,19.0
458,16.0,11.0,17.0
459,15.0,11.0,14.0
460,12.0,11.0,20.0
461,10.0,11.0,17.0
462,8.0,14.0,7.0
463,12.0,26.0,26.0
464,6.0,10.0,20.0
465,13.0,10.0,12.0
466,15.0,5.0,9.0
467,12.0,10.0,33.0
468,16.0,7.0,7.0
469,10.0,20.0,8.0
470,15.0,8.0,4.0
471,13.0,7.0,10.0
472,15.0,8.0,21.0
473,12.0,11.0,12.0
474,13.0,11.0,26.0
475,12.0,8.0,12.0
476,17.0,10.0,19.0
477,19.0,9.0,10.0
478,14.0,10.0,14.0
479,19.0,16.0,21.0
480,17.0,14.0,25.0
481,14.0,14.0,10.0
482,8.0,14.0,30.0
483,5.0,13.0,6.0
484,11.0,9.0,20.0
485,8.0,11.0,10.0
486,13.0,9.0,4.0
487,10.0,6.0,9.0
488,9.0,5.0,8.0
489,16.0,10.0,11.0
490,13.0,6.0,9.0
491,11.0,9.0,9.0
492,13.0,19.0,10.0
493,16.0,13.0,9.0
494,10.0,20.0,4.0
495,8.0,8.0,8.0
496,7.0,18.0,31.0
497,7.0,8.0,8.0
498,18.0,12.0,9.0
499,14.0,4.0,5.0
500,13.0,18.0,8.0
501,13.0,11.0,7.0
502,8.0,23.0,14.0
503,10.0,8.0,31.0
504,19.0,8.0,12.0
505,11.0,7.0,12.0
506,15.0,22.0,26.0
507,13.0,12.0,24.0
508,13.0,21.0,22.0
509,12.0,7.0,28.0
510,15.0,12.0,8.0
511,10.0,25.0,6.0
512,16.0,22.0,6.0
513,23.0,14.0,7.0
514,17.0,7.0,8.0
515,12.0,11.0,10.0
516,11.0,12.0,12.0
517,20.0,6.0,27.0
518,17.0,10.0,8.0
519,17.0,11.0,13.0
520,16.0,14.0,9.0
521,8.0,20.0,3.0
522,12.0,12.0,8.0
523,11.0,9.0,19.0
524,14.0,11.0,3.0
525,13.0,6.0,16.0
526,9.0,27.0,3.0
527,9.0,6.0,10.0
528,9.0,6.0,11.0
529,11.0,9.0,1.0
