,0.25,0.375,0.5
597,9.0,14.0,8.0
598,11.0,13.0,11.0
599,16.0,9.0,8.0
600,14.0,23.0,7.0
601,13.0,18.0,9.0
602,12.0,9.0,17.0
603,11.0,8.0,8.0
604,11.0,23.0,9.0
605,16.0,21.0,11.0
606,15.0,19.0,13.0
607,12.0,18.0,10.0
608,15.0,15.0,11.0
609,14.0,14.0,20.0
610,14.0,13.0,9.0
611,13.0,16.0,18.0
612,20.0,18.0,23.0
613,15.0,11.0,11.0
614,12.0,4.0,16.0
615,7.0,12.0,10.0
616,8.0,9.0,9.0
617,17.0,15.0,8.0
618,21.0,8.0,11.0
619,9.0,12.0,13.0
620,8.0,13.0,12.0
621,10.0,5.0,6.0
622,21.0,6.0,9.0
623,21.0,16.0,11.0
624,12.0,10.0,8.0
625,13.0,8.0,12.0
626,12.0,29.0,10.0
627,11.0,15.0,14.0
628,17.0,6.0,10.0
629,16.0,11.0,11.0
630,16.0,3.0,11.0
631,18.0,10.0,2.0
632,10.0,12.0,26.0
633,11.0,7.0,10.0
634,13.0,9.0,10.0
635,8.0,18.0,9.0
636,7.0,14.0,11.0
637,12.0,9.0,8.0
638,9.0,14.0,26.0
639,14.0,10.0,27.0
640,11.0,12.0,13.0
641,7.0,8.0,10.0
642,10.0,7.0,12.0
643,15.0,15.0,15.0
644,10.0,20.0,9.0
645,10.0,17.0,12.0
646,17.0,9.0,7.0
647,10.0,8.0,12.0
648,9.0,16.0,11.0
649,10.0,8.0,8.0
650,16.0,6.0,8.0
651,12.0,11.0,8.0
652,15.0,19.0,8.0
653,11.0,8.0,9.0
654,6.0,10.0,6.0
655,13.0,9.0,7.0
656,17.0,9.0,31.0
657,10.0,7.0,23.0
658,15.0,10.0,10.0
659,9.0,8.0,11.0
660,15.0,13.0,8.0
661,14.0,15.0,9.0
662,5.0,11.0,25.0
663,14.0,5.0,24.0
664,8.0,17.0,9.0
665,12.0,10.0,11.0
666,9.0,8.0,8.0
