type : 35, d : 82, weight = 0.375000, result = 8
type : 35, d : 242, weight = 0.375000, result = 10
type : 30, d : 442, weight = 0.375000, result = 9
type : 35, d : 402, weight = 0.375000, result = 9
type : 35, d : 202, weight = 0.375000, result = 15
type : 35, d : 282, weight = 0.375000, result = 14
type : 35, d : 362, weight = 0.375000, result = 11
type : 30, d : 62, weight = 0.375000, result = 7
type : 35, d : 462, weight = 0.375000, result = 12
type : 30, d : 462, weight = 0.375000, result = 5
type : 35, d : 262, weight = 0.375000, result = 4
type : 35, d : 302, weight = 0.375000, result = 19
type : 35, d : 182, weight = 0.375000, result = 27
type : 25, d : 162, weight = 0.375000, result = 8
type : 25, d : 102, weight = 0.375000, result = 5
type : 30, d : 482, weight = 0.375000, result = 14
type : 30, d : 202, weight = 0.375000, result = 10
type : 35, d : 342, weight = 0.375000, result = 10
type : 35, d : 382, weight = 0.375000, result = 13
type : 25, d : 442, weight = 0.375000, result = 7
type : 30, d : 102, weight = 0.375000, result = 6
type : 35, d : 222, weight = 0.375000, result = 16
type : 30, d : 182, weight = 0.375000, result = 10
type : 25, d : 282, weight = 0.375000, result = 11
type : 30, d : 282, weight = 0.375000, result = 6
