group : 2, d : 342, weight = 0.100000, result = 10
group : 2, d : 292, weight = 0.100000, result = 18
group : 2, d : 302, weight = 0.100000, result = 12
group : 2, d : 312, weight = 0.100000, result = 10
group : 3, d : 492, weight = 0.100000, result = 6
group : 1, d : 222, weight = 0.100000, result = 9
group : 2, d : 72, weight = 0.100000, result = 13
group : 1, d : 272, weight = 0.100000, result = 15
group : 1, d : 132, weight = 0.100000, result = 9
group : 1, d : 102, weight = 0.100000, result = 9
group : 1, d : 252, weight = 0.100000, result = 4
group : 1, d : 112, weight = 0.100000, result = 10
group : 1, d : 162, weight = 0.100000, result = 12
group : 1, d : 212, weight = 0.100000, result = 13
group : 1, d : 82, weight = 0.100000, result = 13
group : 1, d : 202, weight = 0.100000, result = 9
group : 1, d : 182, weight = 0.100000, result = 9
group : 1, d : 282, weight = 0.100000, result = 11
group : 1, d : 332, weight = 0.100000, result = 7
group : 1, d : 402, weight = 0.100000, result = 13
group : 1, d : 382, weight = 0.100000, result = 15
group : 1, d : 262, weight = 0.100000, result = 17
group : 1, d : 352, weight = 0.100000, result = 11
group : 1, d : 422, weight = 0.100000, result = 10
group : 1, d : 362, weight = 0.100000, result = 10
group : 1, d : 452, weight = 0.100000, result = 7
group : 1, d : 152, weight = 0.100000, result = 19
group : 1, d : 442, weight = 0.100000, result = 13
group : 1, d : 242, weight = 0.100000, result = 7
group : 2, d : 172, weight = 0.100000, result = 13
group : 1, d : 432, weight = 0.100000, result = 15
group : 1, d : 2, weight = 0.100000, result = 33
group : 1, d : 322, weight = 0.100000, result = 10
group : 1, d : 462, weight = 0.100000, result = 11
group : 1, d : 472, weight = 0.100000, result = 9
group : 2, d : 92, weight = 0.100000, result = 13
group : 1, d : 482, weight = 0.100000, result = 6
group : 1, d : 412, weight = 0.100000, result = 43
group : 1, d : 372, weight = 0.100000, result = 13
group : 1, d : 52, weight = 0.100000, result = 13
group : 1, d : 142, weight = 0.100000, result = 12
group : 1, d : 42, weight = 0.100000, result = 15
group : 1, d : 22, weight = 0.100000, result = 5
group : 1, d : 232, weight = 0.100000, result = 8
group : 1, d : 32, weight = 0.100000, result = 14
group : 1, d : 192, weight = 0.100000, result = 14
group : 1, d : 62, weight = 0.100000, result = 17
group : 1, d : 122, weight = 0.100000, result = 10
group : 3, d : 392, weight = 0.100000, result = 8
group : 3, d : 342, weight = 0.100000, result = 8
group : 2, d : 12, weight = 0.100000, result = 12
group : 3, d : 292, weight = 0.100000, result = 19
group : 3, d : 302, weight = 0.100000, result = 14
group : 3, d : 312, weight = 0.100000, result = 11
group : 1, d : 493, weight = 0.100000, result = 13
group : 3, d : 72, weight = 0.100000, result = 8
group : 2, d : 222, weight = 0.100000, result = 8
group : 2, d : 102, weight = 0.100000, result = 9
group : 3, d : 172, weight = 0.100000, result = 12
group : 2, d : 272, weight = 0.100000, result = 11
group : 3, d : 92, weight = 0.100000, result = 19
group : 2, d : 252, weight = 0.100000, result = 10
group : 2, d : 132, weight = 0.100000, result = 11
group : 2, d : 282, weight = 0.100000, result = 11
