d : 631, weight = 0.200000, result = 6
d : 491, weight = 0.200000, result = 8
d : 351, weight = 0.200000, result = 10
d : 181, weight = 0.200000, result = 8
d : 601, weight = 0.200000, result = 3
d : 221, weight = 0.200000, result = 6
d : 391, weight = 0.200000, result = 6
d : 381, weight = 0.200000, result = 7
d : 561, weight = 0.200000, result = 9
d : 341, weight = 0.200000, result = 16
d : 241, weight = 0.200000, result = 5
d : 401, weight = 0.200000, result = 5
d : 571, weight = 0.200000, result = 2
d : 51, weight = 0.200000, result = 5
d : 261, weight = 0.200000, result = 1
d : 321, weight = 0.200000, result = 10
d : 411, weight = 0.200000, result = 5
d : 511, weight = 0.200000, result = 9
d : 481, weight = 0.200000, result = 9
d : 281, weight = 0.200000, result = 8
d : 291, weight = 0.200000, result = 7
d : 231, weight = 0.200000, result = 7
d : 111, weight = 0.200000, result = 10
d : 441, weight = 0.200000, result = 7
d : 431, weight = 0.200000, result = 12
d : 271, weight = 0.200000, result = 8
d : 71, weight = 0.200000, result = 7
d : 151, weight = 0.200000, result = 5
d : 191, weight = 0.200000, result = 9
d : 361, weight = 0.200000, result = 7
d : 211, weight = 0.200000, result = 4
d : 161, weight = 0.200000, result = 8
d : 141, weight = 0.200000, result = 6
d : 311, weight = 0.200000, result = 110
d : 81, weight = 0.200000, result = 105
d : 201, weight = 0.200000, result = 6
d : 101, weight = 0.200000, result = 10
d : 1, weight = 0.200000, result = 7
d : 131, weight = 0.200000, result = 7
d : 61, weight = 0.200000, result = 108
d : 171, weight = 0.200000, result = 3
d : 21, weight = 0.200000, result = 7
d : 91, weight = 0.200000, result = 10
d : 301, weight = 0.200000, result = 10
d : 251, weight = 0.200000, result = 7
d : 121, weight = 0.200000, result = 10
d : 41, weight = 0.200000, result = 107
d : 31, weight = 0.200000, result = 5
d : 11, weight = 0.200000, result = 5
d : 641, weight = 0.500000, result = 9
d : 691, weight = 0.500000, result = 7
d : 701, weight = 0.500000, result = 3
d : 681, weight = 0.500000, result = 205
d : 621, weight = 0.500000, result = 3
d : 591, weight = 0.500000, result = 5
d : 731, weight = 0.500000, result = 6
d : 611, weight = 0.500000, result = 5
d : 671, weight = 0.500000, result = 6
d : 531, weight = 0.500000, result = 1
d : 461, weight = 0.500000, result = 4
d : 521, weight = 0.500000, result = 6
d : 581, weight = 0.500000, result = 2
d : 421, weight = 0.500000, result = 6
d : 501, weight = 0.500000, result = 5
d : 721, weight = 0.500000, result = 4
d : 551, weight = 0.500000, result = 6
d : 711, weight = 0.500000, result = 5
d : 471, weight = 0.500000, result = 7
d : 741, weight = 0.500000, result = 4
d : 541, weight = 0.500000, result = 4
d : 561, weight = 0.500000, result = 4
d : 371, weight = 0.500000, result = 5
d : 661, weight = 0.500000, result = 6
d : 331, weight = 0.500000, result = 5
d : 651, weight = 0.500000, result = 3
d : 631, weight = 0.500000, result = 1
d : 451, weight = 0.500000, result = 3
d : 181, weight = 0.500000, result = 7
d : 491, weight = 0.500000, result = 4
d : 221, weight = 0.500000, result = 2
d : 241, weight = 0.500000, result = 4
d : 281, weight = 0.500000, result = 9
d : 601, weight = 0.500000, result = 6
d : 351, weight = 0.500000, result = 6
d : 51, weight = 0.500000, result = 2
d : 401, weight = 0.500000, result = 5
d : 571, weight = 0.500000, result = 5
d : 391, weight = 0.500000, result = 4
d : 381, weight = 0.500000, result = 6
d : 261, weight = 0.500000, result = 5
d : 341, weight = 0.500000, result = 4
d : 231, weight = 0.500000, result = 4
d : 511, weight = 0.500000, result = 2
d : 191, weight = 0.500000, result = 2
d : 411, weight = 0.500000, result = 5
d : 321, weight = 0.500000, result = 1
d : 481, weight = 0.500000, result = 2
d : 271, weight = 0.500000, result = 3
d : 291, weight = 0.500000, result = 0
d : 211, weight = 0.500000, result = 6
d : 111, weight = 0.500000, result = 3
d : 441, weight = 0.500000, result = 2
d : 431, weight = 0.500000, result = 4
d : 251, weight = 0.500000, result = 3
d : 151, weight = 0.500000, result = 5
d : 71, weight = 0.500000, result = 2
d : 361, weight = 0.500000, result = 8
d : 161, weight = 0.500000, result = 1
d : 81, weight = 0.500000, result = 7
d : 171, weight = 0.500000, result = 2
d : 131, weight = 0.500000, result = 9
d : 141, weight = 0.500000, result = 4
d : 101, weight = 0.500000, result = 4
d : 311, weight = 0.500000, result = 5
d : 1, weight = 0.500000, result = 5
d : 21, weight = 0.500000, result = 5
d : 201, weight = 0.500000, result = 5
d : 301, weight = 0.500000, result = 7
d : 61, weight = 0.500000, result = 3
d : 91, weight = 0.500000, result = 7
d : 642, weight = 0.100000, result = 10
d : 692, weight = 0.100000, result = 5
d : 702, weight = 0.100000, result = 9
d : 121, weight = 0.500000, result = 3
d : 41, weight = 0.500000, result = 4
d : 31, weight = 0.500000, result = 2
d : 11, weight = 0.500000, result = 3
d : 592, weight = 0.100000, result = 6
d : 732, weight = 0.100000, result = 9
d : 682, weight = 0.100000, result = 7
d : 612, weight = 0.100000, result = 9
d : 622, weight = 0.100000, result = 8
d : 672, weight = 0.100000, result = 7
d : 532, weight = 0.100000, result = 8
d : 722, weight = 0.100000, result = 8
d : 522, weight = 0.100000, result = 5
d : 712, weight = 0.100000, result = 4
d : 462, weight = 0.100000, result = 12
d : 582, weight = 0.100000, result = 7
